,year,emissions_s2h,emissions_h2c,emissions_s2c,emissions_d2h,emissions_total,emissions_per_material,emissions_glass,emissions_gNOX,emissions_gPM2p5,emissions_gPM10
0,2023,0.0,0.0,0.0,0,0.0,{},{},0.0,0.0,0.0
1,2024,3202.4040227017385,350.936778128504,402.7473504266905,0,3956.088151256933,"{'concrete_in-situ': 317.72206323959153, 'gravel_sand': 85.02528718709873, 'timber': 2387.1852432124783, 'steel': 28.875748837636703, 'modules': 1137.279808780128}",{},18938751.03140728,184536.66796419,369073.33592838
2,2025,10624.112958131758,994.8140382704404,1468.2768114101264,0,13087.203807812326,"{'concrete_in-situ': 1205.2644460282454, 'gravel_sand': 263.01236538188095, 'timber': 7737.514795022436, 'steel': 96.78134434114682, 'modules': 3784.6308570386145}",{},66020144.36040137,721362.172567989,1442724.345135978
3,2026,18329.253714813472,1438.467916719307,2802.5472452507074,0,22570.268876783484,"{'concrete_in-situ': 2300.154884093571, 'gravel_sand': 502.3923611571331, 'timber': 13750.987807794392, 'steel': 172.2197210492369, 'modules': 5844.51410268917}",{},115633535.1658155,1301257.2274477682,2602514.4548955364
4,2027,25796.81737524208,1748.8816139800638,4219.390260080635,0,31765.08924930277,"{'concrete_in-situ': 3495.023477851173, 'gravel_sand': 724.366782229454, 'timber': 20148.97809706992, 'steel': 256.29202224854146, 'modules': 7140.428869903705}",{},163291982.0567261,1846684.746483236,3693369.492966472
5,2028,31977.01540342884,2033.3865665165224,5465.2789693781615,0,39475.68093932352,"{'concrete_in-situ': 4561.429036222588, 'gravel_sand': 903.8499331555632, 'timber': 25391.655443511663, 'steel': 326.6396996835291, 'modules': 8292.106826750207}",{},204332483.76453516,2338324.72516539,4676649.45033078
6,2029,35891.81072158265,2202.649017682632,6238.058610197958,0,44332.51834946325,"{'concrete_in-situ': 5199.0780590859895, 'gravel_sand': 1038.9805511119614, 'timber': 28650.200031115834, 'steel': 369.6356974871776, 'modules': 9074.624010662319}",{},229776477.2911931,2635513.020157205,5271026.04031441
7,2030,40041.35589728002,2456.936637295982,7019.765494039611,0,49518.05802861562,"{'concrete_in-situ': 5868.089509410427, 'gravel_sand': 1151.6759846291802, 'timber': 31970.763295742217, 'steel': 421.71975797343936, 'modules': 10105.8094808604}",{},255858441.6725877,2918139.1401752555,5836278.280350511
8,2031,42562.83446520016,2671.907484876704,7548.30150026995,0,52783.04345034681,"{'concrete_in-situ': 6321.643376317813, 'gravel_sand': 1226.6581239521354, 'timber': 33981.047441047056, 'steel': 456.7271279642746, 'modules': 10796.967381065584}",{},271480487.28362715,3069778.638719052,6139557.277438103
9,2032,43520.94316457376,2677.727605305632,7875.880212498036,0,54074.55098237744,"{'concrete_in-situ': 6609.641906862393, 'gravel_sand': 1266.2383056356416, 'timber': 34926.5826824897, 'steel': 477.78188048615635, 'modules': 10794.306206903584}",{},278016862.4573297,3140755.636148297,6281511.272296594
10,2033,44105.34630652717,2684.566245168561,8053.437379648467,0,54843.3499313442,"{'concrete_in-situ': 6777.408462921317, 'gravel_sand': 1276.0289167271485, 'timber': 35501.84603463394, 'steel': 493.76031015824503, 'modules': 10794.306206903584}",{},281885394.7117228,3182278.4037266253,6364556.8074532505
11,2034,44105.34630652717,2684.566245168561,8053.437379648467,0,54843.3499313442,"{'concrete_in-situ': 6777.408462921317, 'gravel_sand': 1276.0289167271485, 'timber': 35501.84603463394, 'steel': 493.76031015824503, 'modules': 10794.306206903584}",{},281885394.7117228,3182278.4037266253,6364556.8074532505
