material,tons
aluminium,77100.3838022014
bitumen,4095.5842245387744
brick,158832.18648059643
furnishing_stone,102707.51484127098
glass,767615.5774754577
gypsum,678547.4253287407
isolation,10720.866517831879
plaster,393.1847149089815
steel,251816.51894294308
